year,source_url,source_document,source_table,evidence_type,coverage_status,verified_on,note
2017,https://portugal.gov.pt/api/media/edge/Project/Portal-do-Governo/Portal-do-Governo/gc21/Files/Documentos/20170909-mctes-acesso-ens-sup/ingresso_no_ensino_superior_publico_2017-2018.pdf,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,official_published_table_transcription,source_locked,2026-08-25,Broad-area table is numbered Quadro XII in this vintage.
2018,https://portugal.gov.pt/api/media/edge/Project/Portal-do-Governo/Portal-do-Governo/gc21/Files/Comunicados/concluida-a-ensino-superior/resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table.
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/,,,official_archive_audit,archive_audited_no_broad_area_table,2026-08-25,"The official first-phase archive lists summary, establishment/course comparisons, mobility, cut-offs and pair statistics but no complete broad-area placement table; no values are imputed."
2020,https://portugal.gov.pt/api/media/edge/Project/Portal-do-Governo/Portal-do-Governo/gc22/Files/Comunicados/51-mil-de-acesso/anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table.
2021,https://portugal.gov.pt/api/media/edge/Project/Portal-do-Governo/Portal-do-Governo/gc22/Files/Comunicados/mais-de-de-acesso/anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table.
2022,https://portugal.gov.pt/api/media/edge/Project/Portal-do-Governo/Portal-do-Governo/gc23/Files/Noticias/cerca-de-ensino-superior/resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table.
2023,https://www.dges.gov.pt/coloc/2023/nota_cna23_1f_1.pdf,nota_cna23_1f_1.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table already released in v0.3.0.
2024,https://www.dges.gov.pt/coloc/2024/nota_cna24_1f_1.pdf,nota_cna24_1f_1.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table already released in v0.3.0.
2025,https://dges.gov.pt/coloc/2025/nota_cna25_1f_1.pdf,nota_cna25_1f_1.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table already released in v0.3.0.
2026,https://dges.gov.pt/coloc/2026/nota_cna26_1f_2.pdf,nota_cna26_1f_2.pdf,Quadro V,official_published_table_transcription,source_locked,2026-08-25,Complete 23-area first-phase table; current official first-phase vintage.
